Sample name,PLAT MAP POSTION,DropPlate Position,A260 Concentration (ng/ul),A260/A280,A260/A230,Raw A340 (10mm),A230 (10mm),A260 (10mm),A280 (10mm)
sample_1,A1,A1,100.8,2.7,1.86,0.69,1.09,2.02,0.75
sample_2,H1,B1,50.81,2.22,1.27,0.97,0.8,1.02,0.46
sample_3,G4,C1,57.84,2.21,1.28,1.13,0.91,1.16,0.52
sample_4,B6,D1,71.34,2.28,1.27,1.2,1.13,1.43,0.63
sample_5,F8,E1,52.67,2.23,1.23,0.83,0.85,1.05,0.47
sample_6,C10,F1,65.66,2.14,1.09,1.38,1.21,1.31,0.61
sample_7,A12,G1,58.71,2.4,1.42,0.55,0.69,0.97,0.41
sample_8,H12,H1,62.65,2.15,1.18,1.22,1.06,1.25,0.58
sample_9,D2,A2,-1.81,3.51,0.57,-0.06,-0.06,-0.04,-0.01
blank_10,,B2,0,-,-,0,0,0,0
